asset_id,timestamp,operating_mode,vibration_mm,temperature_f,pressure_psi,flow_rate,rpm,motor_current,oil_quality_index,ambient_temp,ambient_humidity
COMP-001,2024-01-01 00:00:00,normal,2.32,176.94,148.46,514.94,1817.21,41.25,94.85,108.59,59.09
COMP-001,2024-01-01 01:00:00,normal,2.17,170.04,148.6,492.59,1788.34,45.23,92.54,94.96,51.92
COMP-001,2024-01-01 02:00:00,normal,2.36,178.12,146.55,476.65,1796.66,44.68,94.74,74.19,46.61
COMP-001,2024-01-01 03:00:00,normal,2.58,184.2,147.77,493.58,1805.65,46.34,97.49,74.42,46.13
COMP-001,2024-01-01 04:00:00,normal,2.14,174.35,149.23,522.51,1795.03,45.43,95.03,88.85,60.35
COMP-001,2024-01-01 05:00:00,normal,2.14,177.41,141.16,512.75,1832.15,43.5,95.35,89.38,67.29
COMP-001,2024-01-01 06:00:00,normal,2.59,179.14,142.61,494.77,1809.82,44.36,93.11,89.39,48.63
COMP-001,2024-01-01 07:00:00,normal,2.39,172.59,150.97,494.76,1814.7,43.41,94.08,82.96,59.58
COMP-001,2024-01-01 08:00:00,normal,2.08,176.34,148.68,495.18,1813.26,47.15,94.44,84.0,34.13
COMP-001,2024-01-01 09:00:00,normal,2.34,175.08,147.26,531.15,1823.47,45.04,94.52,87.62,49.15
COMP-001,2024-01-01 10:00:00,normal,2.08,175.59,148.07,505.73,1803.62,48.8,96.92,85.69,54.69
COMP-001,2024-01-01 11:00:00,normal,2.08,170.36,149.39,506.45,1774.06,44.88,95.84,67.25,45.9
COMP-001,2024-01-01 12:00:00,normal,2.26,175.15,145.84,515.45,1807.99,43.58,93.33,83.16,45.63
COMP-001,2024-01-01 13:00:00,normal,1.72,177.99,144.89,503.58,1786.97,41.97,95.37,78.19,48.32
COMP-001,2024-01-01 14:00:00,normal,1.77,183.71,148.78,496.11,1789.43,41.39,95.75,86.4,57.92
COMP-001,2024-01-01 15:00:00,normal,2.06,180.76,144.09,497.05,1811.73,41.83,96.71,108.88,53.13
COMP-001,2024-01-01 16:00:00,normal,1.95,187.92,149.63,498.93,1824.77,45.53,97.37,87.94,32.62
COMP-001,2024-01-01 17:00:00,normal,2.28,170.4,141.19,499.44,1800.43,46.02,93.48,82.49,33.79
COMP-001,2024-01-01 18:00:00,normal,1.97,180.23,152.12,510.91,1806.18,41.84,93.78,92.37,48.93
COMP-001,2024-01-01 19:00:00,normal,1.85,176.1,149.89,500.78,1834.04,46.79,93.11,88.86,59.58
COMP-001,2024-01-01 20:00:00,normal,2.57,188.14,149.02,510.99,1804.82,44.03,94.65,88.36,27.52
COMP-001,2024-01-01 21:00:00,normal,2.14,170.15,151.93,498.79,1852.03,45.29,95.7,89.85,50.0
COMP-001,2024-01-01 22:00:00,normal,2.22,169.96,154.66,501.18,1811.31,48.22,96.48,101.45,49.74
COMP-001,2024-01-01 23:00:00,normal,1.84,171.4,152.06,470.03,1764.78,46.79,94.89,75.95,68.88
COMP-001,2024-01-02 00:00:00,normal,2.06,162.26,140.64,513.74,1815.07,44.46,94.52,88.79,51.15
COMP-001,2024-01-02 01:00:00,normal,2.23,171.85,142.88,505.2,1807.62,43.22,95.23,77.59,58.83
COMP-001,2024-01-02 02:00:00,normal,1.91,170.45,145.5,514.97,1825.8,40.7,93.75,89.44,56.41
COMP-001,2024-01-02 03:00:00,normal,2.29,175.9,148.1,456.56,1813.46,43.56,98.13,77.65,33.69
COMP-001,2024-01-02 04:00:00,normal,2.05,177.05,150.07,531.33,1797.23,44.58,92.59,81.66,62.68
COMP-001,2024-01-02 05:00:00,normal,2.13,186.26,145.1,497.91,1775.51,43.03,95.28,82.64,57.15
COMP-001,2024-01-02 06:00:00,normal,2.05,180.7,148.75,516.62,1795.82,44.74,98.04,92.81,60.08
COMP-001,2024-01-02 07:00:00,normal,2.66,171.54,144.98,484.4,1782.99,45.15,95.01,92.35,94.26
COMP-001,2024-01-02 08:00:00,normal,2.2,169.61,145.55,509.19,1788.39,44.55,94.71,75.03,34.16
COMP-001,2024-01-02 09:00:00,normal,1.94,177.95,142.37,484.2,1811.77,43.7,94.46,85.44,72.25
COMP-001,2024-01-02 10:00:00,normal,2.41,167.08,144.31,490.64,1833.4,45.34,94.73,79.32,52.13
COMP-001,2024-01-02 11:00:00,normal,1.89,185.99,142.59,528.71,1807.89,45.88,97.06,74.93,57.87
COMP-001,2024-01-02 12:00:00,normal,2.25,182.08,144.1,497.14,1776.08,42.82,91.68,83.26,54.54
COMP-001,2024-01-02 13:00:00,normal,1.71,172.18,152.21,503.26,1808.89,47.82,97.3,82.53,50.76
COMP-001,2024-01-02 14:00:00,normal,1.87,164.72,144.2,513.05,1823.93,44.8,92.86,104.41,49.3
COMP-001,2024-01-02 15:00:00,normal,2.25,183.12,158.53,507.44,1787.8,45.04,94.6,88.46,58.3
COMP-001,2024-01-02 16:00:00,normal,2.38,174.31,149.97,502.26,1797.32,46.42,94.36,73.98,39.83
COMP-001,2024-01-02 17:00:00,normal,2.24,182.43,148.74,505.47,1800.29,45.47,95.88,80.48,62.51
COMP-001,2024-01-02 18:00:00,normal,2.17,165.43,144.57,536.05,1784.3,46.91,92.6,93.17,50.84
